Week,Title,Lens,Essential Question,Theme,Standards
1,Eighth Grade Scholar Launch,Launch,"How do eighth-grade scholars prepare for high school through evidence, independence, and disciplined revision?","High school readiness systems, diagnostic reading/math/science writing, research notebooks, digital files, study habits, portfolio setup, and A++ expectations",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
2,Strongest Evidence and Linear Relationships,Linear Evidence,How do evidence and linear relationships help us explain what is changing?,"Strongest textual evidence, annotation, linear patterns, tables, graphs, rate of change, and academic discussion",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
3,"Equations, Functions, and Informational Text",Functions,How can rules and structures describe relationships in texts and mathematics?,"Linear equations, functions as rules, informational structures, technical vocabulary, and source notes",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
4,"Slope, Intercept, and Argument Claims",Slope,How can slope and evidence reveal the strength of a claim?,"Slope, y-intercept, proportional/nonproportional relationships, claim/reason/evidence, and data displays",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
5,Systems of Equations and Competing Explanations,Systems,How do we resolve situations where two conditions must be true at once?,"Systems of equations, intersection as solution, competing interpretations, and argument evaluation",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
6,Exponents and Scientific Notation,Exponents,How can powers of ten help us understand very large and very small things?,"Integer exponents, scientific notation, scale, astronomy/microscopy contexts, and precision language",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
7,Transformations and Congruence,Transformations,How can movement preserve structure and prove congruence?,"Translations, rotations, reflections, congruence, coordinate geometry, movement, and visual proof",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
8,"Dilations, Similarity, and Scale",Similarity,How can scale preserve shape while changing size?,"Dilations, similarity, scale factor, maps/models, proportional reasoning, and design critique",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
9,Pythagorean Theorem and Distance,Pythagorean,How can a triangle reveal distance we cannot measure directly?,"Right triangles, Pythagorean theorem, distance on coordinate plane, proofs, and real-world design",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
10,"Volume, Cylinders, Cones, and Spheres",Volume,How do formulas help us model three-dimensional space?,"Volume formulas, precision, modeling, engineering constraints, and mathematical communication",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
