Code,Label,Description,Weeks
KHAE-ELA-6,Grade 6 English Language Arts and Literacy,"Cite textual evidence, analyze theme/central idea, text structure, point of view, arguments/claims, vocabulary/morphology, grammar, speaking/listening, research, writing, revision, media, and disciplinary literacy.",1-36
KHAE-MATH-6,Grade 6 Mathematics,"Ratios, rates, percent, fraction division, rational numbers, expressions, equations, inequalities, coordinate planes, area, surface area, volume, statistics, and mathematical modeling.",1-36
KHAE-SCI-MS,Middle School Science and Engineering,"Matter, energy, forces, waves, cells, ecosystems, Earth systems, weather/climate, engineering design, modeling, data analysis, and claim-evidence-reasoning.",1-36
KHAE-SS-6,Grade 6 Social Studies and Civics,"World geography, ancient civilizations, culture, law, economics, trade, migration, historical sources, civic ideas, perspective, and informed action.",1-36
KHAE-WL-6,World Languages and Global Culture,"Introductory language learning, greetings, cognates, scripts, cultural comparison, translation awareness, geography of languages, respect, and global communication.",1-36
KHAE-ART-6,"Arts, Music, and Media","Creative process, visual design, media arts, music literacy, rhythm, melody, drama, performance, critique, cultural arts, artist statements, and portfolio curation.",1-36
KHAE-PEH-6,"Health, PE, and SEL","Physical literacy, fitness planning, nutrition, safety, adolescent wellness, emotional regulation, executive function, collaboration, leadership, resilience, and self-advocacy.",1-36
KHAE-TECH-6,"Technology, Design, and Tools","Digital citizenship, keyboarding fluency, file systems, spreadsheets, charts, source notes, ethical media, algorithms, debugging, accessible presentations, and design thinking.",1-36
KHAE-IP-6,Integrated A++ Projects,"Cross-disciplinary inquiry, evidence gathering, data analysis, quantitative reasoning, research writing, modeling, design, revision, oral defense, portfolio, and reflection.",1-36
KHAE-PORT-6,Portfolio and Assessment,"Weekly mastery, performance tasks, midterm, final, capstone checkpoints, student reflection, teacher evidence, family reports, grade 7 readiness, and 80% certification.",1-36
